question,answer
Who is Dohwan Lim?,Dohwan Lim is an individual mentioned in the text who holds a Ph.D. degree.
What does Ph.D. stand for?,"Ph.D. stands for ""Doctor of Philosophy"", a postgraduate doctoral degree awarded by universities."
What is the School of Systems Biomedical Science?,"The School of Systems Biomedical Science is a specific school or department within a university, presumably where Dohwan Lim is affiliated."
Where is the School of Systems Biomedical Science located?,The School of Systems Biomedical Science is located at Soongsil University.
What is Molecular Biology?,"Molecular Biology is a field of science that studies the composition, structure and interactions of cellular molecules like nucleic acids and proteins that carry out the biological processes essential for the cell’s functions and maintenance."
What is the 'Central Dogma' of Molecular Biology?,"It is a fundamental concept that describes the flow of genetic information within a biological system, outlining the process of transcription and translation."
Who first proposed the 'Central Dogma' of Molecular Biology?,The 'Central Dogma' of Molecular Biology was first proposed by Francis Crick in 1958.
What is the process of transcription in the context of the central dogma?,Transcription is the first step in the central dogma process where the DNA sequence of a gene is transcribed into a complementary RNA molecule.
What is the process of translation in the context of the central dogma?,Translation is the second step in the central dogma process where the RNA molecule serves as a template for the synthesis of a protein.
What is the role of genes in the central dogma of molecular biology?,"Genes, which are segments of DNA, carry the instructions for making proteins, thus playing a crucial role in the flow of genetic information as described by the central dogma."
Who is the author mentioned in the text?,"The author mentioned in the text is Dohwan Lim, Ph.D."
"What is Dohwan Lim, Ph.D.'s affiliation?","Dohwan Lim, Ph.D. is affiliated with the School of Systems Biomedical Science at Soongsil University."
What is the title of the chapter mentioned in the text?,"The title of the chapter mentioned in the text is ""The Mendelian View of the World""."
"What time period does ""Before Mendel's Discoveries (~1800)"" refer to?","It refers to the time period before the genetic discoveries of Gregor Mendel, a scientist known for his work on inheritance patterns in pea plants."
"What does the basic color theory ""Blue + Yellow = Green"" state?",It states that mixing blue and yellow pigments produces the color green.
"What does the term ""Particulate (=Gene)"" refer to?","It refers to the particulate theory of inheritance, which was proposed by Gregor Mendel. It suggests that hereditary traits are passed on through discrete units, now known as genes."
"What does the term ""Paternal"" refer to?",This term refers to the father's side of the family or the traits inherited from the father.
"What does the term ""Offspring"" refer to in genetics?","In genetics, it refers to the new generation resulting from sexual or asexual reproduction."
Who conducted breeding experiments or genetic crosses with different strains of peas?,Gregor Mendel.
What were the well-defined characteristics of the peas used in Mendel's experiments?,The peas had well-defined characteristics such as seed shape (round or wrinkled) and seed color (yellow or green).
What did Mendel's experiments lead to the discovery of?,Mendel's experiments led to the discovery of simple rules about phenotype transmission from parents to offspring.
What are the discoveries made by Gregor Mendel known as?,These discoveries are known as Mendelian laws.
When did Gregor Mendel live?,"Gregor Mendel lived from July 20, 1822, to January 6, 1884."
What are breeding experiments?,Breeding experiments are scientific experiments conducted to understand the genetic traits and inheritance patterns in offspring produced by two parental strains.
What are parental strains?,"Parental strains are the original pair of organisms used in breeding experiments. They breed true when mated with themselves, meaning the offspring will have the same traits as the parents."
"What does the term ""trait of progeny"" refer to?","The term ""trait of progeny"" refers to the characteristics or features of the offspring, which in the context of the text, are identical to that of the parents."
What are Mendel's Discoveries?,"Mendel's Discoveries refer to the findings of Gregor Mendel, a scientist known for his work on pea plants, which laid the foundation for the science of genetics."
"What is meant by ""true-breeding"" in genetics?","""True-breeding"" is a term used in genetics to describe organisms that, when mated with themselves, produce offspring with the same traits. In other words, they are homozygous for a certain trait."
What is the trait that appears in the F1 progeny called?,The trait that appears in the F1 progeny is called dominant.
What is the trait that does not appear in the F1 progeny called?,The trait that does not appear in the F1 progeny is called recessive.
What does the Principle of Independent Segregation state?,The Principle of Independent Segregation states that a dominant trait is dominant over a recessive trait.
What are pure-breeding strains?,Pure-breeding strains are strains of organisms that contain two alleles of a specific gene.
